Ident. Pedido,Estabelecimento,Tipo Entrega,Tipo Estab.,Início Preparo,Início Entrega,Término Entrega,Lat Cliente,Lon Cliente,Lat Estab.,Lon Estab.
0543025c-f4ec-4216-a6d6-a24e53381e51,1306721,IFOOD,Comida Brasileira,2023-01-09 12:32:25.622244,2023-01-09 12:42:33.409004,2023-01-09 12:47:37.119517,-3.722,-38.535,-3.722411,-38.536016
7f248436-b020-4176-b5e7-32ac97f9d63f,1306721,IFOOD,Comida Brasileira,2023-01-09 12:27:50.144158,2023-01-09 12:39:34.565645,2023-01-09 12:50:00.017847,-3.73,-38.538,-3.722411,-38.536016
76b1cd8f-816f-48f6-9f6b-97bb471cd0ae,1306721,IFOOD,Comida Brasileira,2023-01-09 12:51:04.362495,2023-01-09 13:00:43.560861,2023-01-09 13:13:08.056133,-3.714,-38.559,-3.722411,-38.536016
e974f874-1cec-444d-9cb2-dde88d5c0699,1306721,IFOOD,Comida Brasileira,2023-01-09 11:15:58.574759,2023-01-09 11:39:45.283823,2023-01-09 11:53:58.936902,-3.736,-38.543,-3.722411,-38.536016
91fda3cf-2351-4bc8-99ce-73df92529a57,1306721,IFOOD,Comida Brasileira,2023-01-09 11:56:35.330815,2023-01-09 12:09:05.886346,2023-01-09 12:30:25.509622,-3.748,-38.536,-3.722411,-38.536016
82816e08-bc29-46a3-be80-41c2fab495f0,1306721,IFOOD,Comida Brasileira,2023-01-09 11:35:43.434029,2023-01-09 11:50:08.288129,2023-01-09 11:56:35.152638,-3.725,-38.522,-3.722411,-38.536016
16783e2e-ee36-40c0-8b0d-739ce0e20a2c,1306721,IFOOD,Comida Brasileira,2023-01-09 19:30:25.862184,2023-01-09 19:46:10.250509,2023-01-09 19:57:23.328911,-3.729,-38.521,-3.722411,-38.536016
c7f24289-7873-4655-b82b-b827a33fea51,1306721,IFOOD,Comida Brasileira,2023-01-09 14:57:43.739856,2023-01-09 15:09:08.226101,2023-01-09 15:17:00.819693,-3.723,-38.54,-3.722411,-38.536016
4a399933-65a2-486c-98e3-bcaa843a1cb5,1306721,IFOOD,Comida Brasileira,2023-01-09 11:46:24.533209,2023-01-09 12:01:21.114166,2023-01-09 12:14:49.051159,-3.738,-38.558,-3.722411,-38.536016
d78d8d5e-c531-4cc5-90a6-8c7fe184ed46,1306721,IFOOD,Comida Brasileira,2023-01-09 11:41:50.250350,2023-01-09 12:00:53.727331,2023-01-09 12:12:19.769873,-3.73,-38.512,-3.722411,-38.536016
a0b1f0b4-886b-415e-a1eb-4ae858c2e1b8,1306721,IFOOD,Comida Brasileira,2023-01-09 11:18:00.883765,2023-01-09 11:39:45.556912,2023-01-09 12:00:58.665455,-3.736,-38.556,-3.722411,-38.536016
